"","wave","day","amp","phase","cvel","amp_std"
"145",5,15,0,0,0,-2.06135153017791
"146",6,15,0,0,0,-1.93179393179326
"147",7,15,0,0,0,-1.9061539302471
"148",8,15,0,0,0,-1.7857555409165
"149",9,15,0,0,0,-1.65990377755394
"150",10,15,0,0,0,-1.77974583380594
"151",1,16,0,0,0,-2.68809392303535
"152",2,16,0,0,0,-2.4821014829268
"153",3,16,0,0,0,-2.14445958237565
"154",4,16,0,0,0,-1.82654595340093
"155",5,16,0,0,0,-2.06135153017791
"156",6,16,0,0,0,-1.93179393179326
"157",7,16,0,0,0,-1.9061539302471
"158",8,16,0,0,0,-1.7857555409165
"159",9,16,0,0,0,-1.65990377755394
"160",10,16,0,0,0,-1.77974583380594
"161",1,17,0,0,0,-2.68809392303535
"162",2,17,0,0,0,-2.4821014829268
"163",3,17,0,0,0,-2.14445958237565
"164",4,17,0,0,0,-1.82654595340093
"165",5,17,0,0,0,-2.06135153017791
"166",6,17,0,0,0,-1.93179393179326
"167",7,17,0,0,0,-1.9061539302471
"168",8,17,0,0,0,-1.7857555409165
"169",9,17,0,0,0,-1.65990377755394
"170",10,17,0,0,0,-1.77974583380594
"171",1,18,0,0,0,-2.68809392303535
"172",2,18,0,0,0,-2.4821014829268
"173",3,18,0,0,0,-2.14445958237565
"174",4,18,0,0,0,-1.82654595340093
"175",5,18,0,0,0,-2.06135153017791
"176",6,18,0,0,0,-1.93179393179326
"177",7,18,0,0,0,-1.9061539302471
"178",8,18,0,0,0,-1.7857555409165
"179",9,18,0,0,0,-1.65990377755394
"180",10,18,0,0,0,-1.77974583380594
"181",1,19,0,0,0,-2.68809392303535
"182",2,19,0,0,0,-2.4821014829268
"183",3,19,0,0,0,-2.14445958237565
"184",4,19,0,0,0,-1.82654595340093
"185",5,19,0,0,0,-2.06135153017791
"186",6,19,0,0,0,-1.93179393179326
"187",7,19,0,0,0,-1.9061539302471
"188",8,19,0,0,0,-1.7857555409165
"189",9,19,0,0,0,-1.65990377755394
"190",10,19,0,0,0,-1.77974583380594
"191",1,20,0,0,0,-2.68809392303535
"192",2,20,0,0,0,-2.4821014829268
"193",3,20,0,0,0,-2.14445958237565
"194",4,20,0,0,0,-1.82654595340093
"195",5,20,0,0,0,-2.06135153017791
"196",6,20,0,0,0,-1.93179393179326
"197",7,20,0,0,0,-1.9061539302471
"198",8,20,0,0,0,-1.7857555409165
"199",9,20,0,0,0,-1.65990377755394
"200",10,20,0,0,0,-1.77974583380594
"201",1,21,0,0,0,-2.68809392303535
"202",2,21,0,0,0,-2.4821014829268
"203",3,21,0,0,0,-2.14445958237565
"204",4,21,0,0,0,-1.82654595340093
"205",5,21,0,0,0,-2.06135153017791
"206",6,21,0,0,0,-1.93179393179326
"207",7,21,0,0,0,-1.9061539302471
"208",8,21,0,0,0,-1.7857555409165
"209",9,21,0,0,0,-1.65990377755394
"210",10,21,0,0,0,-1.77974583380594
"211",1,22,0,0,0,-2.68809392303535
"212",2,22,0,0,0,-2.4821014829268
"213",3,22,0,0,0,-2.14445958237565
"214",4,22,0,0,0,-1.82654595340093
"215",5,22,0,0,0,-2.06135153017791
"216",6,22,0,0,0,-1.93179393179326
"217",7,22,0,0,0,-1.9061539302471
"218",8,22,0,0,0,-1.7857555409165
"219",9,22,0,0,0,-1.65990377755394
"220",10,22,0,0,0,-1.77974583380594
"221",1,23,0,0,0,-2.68809392303535
"222",2,23,0,0,0,-2.4821014829268
"223",3,23,0,0,0,-2.14445958237565
"224",4,23,0,0,0,-1.82654595340093
"225",5,23,0,0,0,-2.06135153017791
"226",6,23,0,0,0,-1.93179393179326
"227",7,23,0,0,0,-1.9061539302471
"228",8,23,0,0,0,-1.7857555409165
"229",9,23,0,0,0,-1.65990377755394
"230",10,23,0,0,0,-1.77974583380594
"231",1,24,0,0,0,-2.68809392303535
"232",2,24,0,0,0,-2.4821014829268
"233",3,24,0,0,0,-2.14445958237565
"234",4,24,0,0,0,-1.82654595340093
"235",5,24,0,0,0,-2.06135153017791
"236",6,24,0,0,0,-1.93179393179326
"237",7,24,0,0,0,-1.9061539302471
"238",8,24,0,0,0,-1.7857555409165
"239",9,24,0,0,0,-1.65990377755394
"240",10,24,0,0,0,-1.77974583380594
"241",1,25,0,0,0,-2.68809392303535
"242",2,25,0,0,0,-2.4821014829268
"243",3,25,0,0,0,-2.14445958237565
"244",4,25,0,0,0,-1.82654595340093
"245",5,25,0,0,0,-2.06135153017791
"246",6,25,0,0,0,-1.93179393179326
"247",7,25,0,0,0,-1.9061539302471
"248",8,25,0,0,0,-1.7857555409165
"249",9,25,0,0,0,-1.65990377755394
